year,state,type,value
2021,Tennessee,colony_lost,2920
2021,Texas,colony_added,121000
2021,Texas,colony_lost,57000
2021,United States,colony_added,986220
2021,United States,colony_lost,628490
2021,Utah,colony_added,12500
2021,Utah,colony_lost,6000
2021,Vermont,colony_added,1440
2021,Vermont,colony_lost,1340
2021,Virginia,colony_added,5400
2021,Virginia,colony_lost,1930
2021,Washington,colony_added,15000
2021,Washington,colony_lost,8900
2021,West Virginia,colony_added,3600
2021,West Virginia,colony_lost,1370
2021,Wisconsin,colony_added,16000
2021,Wisconsin,colony_lost,4700
2021,Wyoming,colony_added,8000
2021,Wyoming,colony_lost,5100
